"source_section","source_section_name","field_id","field_name","destination","destination_field_name","destination_format","frequency","transformation","quirks_notes","spec_source"
"A","Personal Identity","A-ckyc_number","CKYC Identification Number (KIN)","bse-ucc","CKYC_KIN","CHAR(14)","one-time","[direct]","Optional; KRA-validated KYC takes precedence","BSE/20240223-42"
"A","Personal Identity","A-ckyc_number","CKYC Number","cdsl-bo","CKYC_KIN","CHAR(14)","one-time","[direct]","14-digit KIN captured at BO opening from CKYCRR fetch; right-aligned with leading zeros","CDSL/OPS/DP/POLCY/2024/312"
"A","Personal Identity","A-ckyc_number","CKYC Identification Number","ckyc","KYC_IDENTIFIER","CHAR(14)","one-time","[direct]","Masked-KIN search returns 'X'-prefixed identifier post 20-Jan-2025; full KIN only on authenticated download","CKYC/2024/04"
"A","Personal Identity","A-ckyc_number","CKYC Number","fatca-crs","CKYC_KIN","CHAR(14)","on-event","[direct]","annual cadence; CKYC KIN linked to FATCA record at KRA; helps dedupe across intermediaries","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/12"
"A","Personal Identity","A-ckyc_number","CKYC Identification Number","kra","CKYC_NO","CHAR(14)","on-modify","[direct]","KRA stores KIN as reference; masked in API responses post Jan 2025","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/79"
"A","Personal Identity","A-ckyc_number","CKYC Identification Number (KIN)","mcx-ucc","CKYC_KIN","CHAR(14)","one-time","[direct]","Optional pass-through field","MCX/TECH/394/2023"
"A","Personal Identity","A-ckyc_number","CKYC Number","nsdl-bo","CKYCNb","CHAR(14) UDiFF","one-time","[direct]","ISO-tagged element; mandatory pipeline DP-KRA-CKYCRR per SEBI June 6, 2024 circular","NSDL/POLICY/2024/0086"
"A","Personal Identity","A-ckyc_number","CKYC Identification Number (KIN)","nse-ucc","CKYC_KIN","CHAR(14)","one-time","[direct]","14-digit KIN; passed for record cross-reference","NSE/ISC/61817"
"A","Personal Identity","A-country_of_birth","Country of Birth","back-office","country_of_birth","CHAR(2)","one-time","[direct]","needed for FATCA US-person determination","[industry typical]"
"A","Personal Identity","A-country_of_birth","Country of Birth","cdsl-bo","COUNTRY_OF_BIRTH","CHAR(2)","one-time","lookup against R","ISO 3166-1 alpha-2; required for FATCA flag captured at KRA but echoed in BO","CDSL/OPS/DP/POLCY/2024/107"
"A","Personal Identity","A-country_of_birth","Country of Birth","ckyc","COUNTRY_OF_BIRTH","CHAR(3)","one-time","lookup against R","CKYC uses ISO 3166 alpha-3; required for FATCA reasonableness","CKYC/2025/16"
"A","Personal Identity","A-country_of_birth","Country of Birth (Section A duplicate)","fatca-crs","COB_ALT","CHAR(2)","on-event","[direct]","same as J05; broker captures in both places; ISO-3166 alpha-2; reconciled at upload","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/12"
"A","Personal Identity","A-country_of_birth","Country of Birth","kra","CTRY_OF_BIRTH","CHAR(2)","on-modify","lookup against R","ISO 3166-1 alpha-2; FATCA-mandatory field centralized at KRA since 01-Jul-2024","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/12"
"A","Personal Identity","A-country_of_birth","Country of Birth","nsdl-bo","CtryOfBirth","CHAR(2) UDiFF","one-time","lookup against R","ISO 3166-1 alpha-2","NSDL/POLICY/2025/0056"
"A","Personal Identity","A-date_of_birth","Date of Birth","aml-fiu","DOB","DATE YYYYMMDD","on-event","formatted","required customer-attribute field in STR/CTR/CBWTR; passed as YYYY-MM-DD per FINnet schema","FIU-IND-REPORTING-FORMAT-V114"
"A","Personal Identity","A-date_of_birth","Date of Birth","back-office","dob","DATE YYYYMMDD","one-time","formatted","Age>=18 enforced at ledger creation; drives age-group risk profile","[industry typical]"
"A","Personal Identity","A-date_of_birth","Date of Birth","bse-ucc","DOB","DATE DD/MM/YYYY","one-time","formatted","Mandatory; PAN+Name+DOB must match Protean; post-registration changes require Unfreeze request with re-verification","BSE/20240223-42"
"A","Personal Identity","A-date_of_birth","Date of Birth","cdsl-bo","DOB","CHAR(8)","one-time","formatted","Reformat DD/MM/YYYY to YYYYMMDD in line 01; right-aligned positional; must match PAN record DOB","CDSL/OPS/DP/SYSTM/2023/119"
"A","Personal Identity","A-date_of_birth","Date of Birth","ckyc","DOB","DATE DD-MM-YYYY","one-time","formatted","CKYC uses DD-MM-YYYY in upload XML; mandatory","CKYC/2025/16"
"A","Personal Identity","A-date_of_birth","Date of Birth","contract-notes","none","none","on-trade","[direct]","not on ECN body; printed only on summary statements; retained in archive for STR cross-ref","[industry typical]"
"A","Personal Identity","A-date_of_birth","Date of Birth","fatca-crs","DOB","DATE YYYYMMDD","on-event","formatted","converted to YYYY-MM-DD per CRS XML schema; passed in OECD ReportableAccount block","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/12"
"A","Personal Identity","A-date_of_birth","Date of Birth","kra","DOB","DATE DD/MM/YYYY","on-modify","formatted","Must match PAN ITD record; KRA rejects on mismatch via 3-param validation","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/41"
"A","Personal Identity","A-date_of_birth","Date of Birth","mcx-ucc","DOB","DATE DDMMYYYY","one-time","formatted","Mandatory; included in pipe-delimited record's financial/personal line","MCX/TECH/394/2023"
"A","Personal Identity","A-date_of_birth","Date of Birth","nsdl-bo","BirthDt","ISODate (YYYY-MM-DD)","one-time","formatted","ISO 8601 date element in UDiFF XML; must match Income Tax Department DOB returned in PAN-flag check","NSDL/POLICY/2024/0041"
"A","Personal Identity","A-date_of_birth","Date of Birth","nse-ucc","DOB","DATE DDMMYYYY","one-time","formatted","Mandatory for individuals (DOI for non-individuals); part of 3-param Protean check; mismatch = X rejection","NSE/ISC/61817"
"A","Personal Identity","A-date_of_birth","Date of Birth","rms","client_dob","DATE YYYYMMDD","one-time","formatted","age-group derives client category for RMS exposure limits","[industry typical]"
"A","Personal Identity","A-din","Director Identification Number","cdsl-bo","DIN_NUMBER","CHAR(8)","one-time","[direct]","8-digit DIN; optional; right-padded","CDSL/OPS/DP/POLCY/2024/208"
"A","Personal Identity","A-din","Director Identification Number","ckyc","DIN","CHAR(8)","one-time","[direct]","Optional in CKYC T1","CKYC/2020/04"
"A","Personal Identity","A-din","Director Identification Number","kra","DIN","CHAR(8)","on-modify","[direct]","Optional; applicable only if customer is a director","[industry typical]"
"A","Personal Identity","A-din","Director Identification Number","nsdl-bo","DIN","CHAR(8) UDiFF","one-time","[direct]","Optional 8-digit element","NSDL/POLICY/2025/0056"
"A","Personal Identity","A-disability_percentage","Disability Percentage","ckyc","PERCENTAGE_OF_IMPAIRMENT","NUMBER(3)","one-time","[direct]","Mandatory if differently_abled=Y per CKYC/2025/11","CKYC/2025/11"
"A","Personal Identity","A-disability_percentage","Disability Percentage","kra","DISABILITY_PCT","NUMBER(3)","on-modify","[direct]","0-100; conditional","[industry typical]"
"A","Personal Identity","A-disability_type","Disability Type","back-office","disability_type","VARCHAR(2)","one-time","[direct]","lookup against code table; conditional only","[industry typical]"
"A","Personal Identity","A-disability_type","Disability Type","ckyc","TYPE_OF_IMPAIRMENT","CHAR(2)","one-time","lookup against R","CKYC code table per CKYC/2025/11 Communique","CKYC/2025/11"
"A","Personal Identity","A-disability_type","Disability Type","kra","DISABILITY_TYPE","CHAR(2)","on-modify","lookup against R","Conditional on is_differently_abled=Y","[industry typical]"
"A","Personal Identity","A-father_spouse_flag","Father/Spouse Flag","back-office","f_or_s_flag","CHAR(1)","one-time","[direct]","F or S; required on KYC AOF header in back-office","[industry typical]"
"A","Personal Identity","A-father_spouse_flag","Father/Spouse Indicator","bse-ucc","FATHER_SPOUSE_FLAG","CHAR(1)","one-time","[direct]","F or S indicator","BSE/20240223-42"
"A","Personal Identity","A-father_spouse_flag","Father/Spouse Flag","cdsl-bo","FATHER_SPOUSE_FLAG","CHAR(1)","one-time","[direct]","Single position in line 01: 'F' or 'S'; mandatory","CDSL/OPS/DP/SYSTM/2023/119"
"A","Personal Identity","A-father_spouse_flag","Father/Spouse Indicator","ckyc","FATHER_SPOUSE_FLAG","CHAR(1)","one-time","[direct]","CKYC field; mandatory in template T1","CKYC/2025/16"
"A","Personal Identity","A-father_spouse_flag","Father/Spouse Indicator","kra","FATHER_SPOUSE_FLAG","CHAR(1)","on-modify","[direct]","F=Father, S=Spouse; controls which name is captured","[industry typical]"
"A","Personal Identity","A-father_spouse_flag","Father/Spouse Indicator","mcx-ucc","FATHER_SPOUSE_FLAG","CHAR(1)","one-time","[direct]","F=Father, S=Spouse; flows to BO file","MCX/TECH/394/2023"
"A","Personal Identity","A-father_spouse_flag","Father/Spouse Flag","nsdl-bo","FthrSpsFlg","CHAR(1) UDiFF","one-time","[direct]","ISO-tagged XML attribute; F=Father, S=Spouse","NSDL/POLICY/2025/0056"
"A","Personal Identity","A-father_spouse_flag","Father/Spouse Indicator","nse-ucc","FATHER_SPOUSE_FLAG","CHAR(1)","one-time","[direct]","F=Father, S=Spouse","NSE/ISC/61817"
"A","Personal Identity","A-father_spouse_name","Father/Spouse Name","back-office","father_spouse_nm","VARCHAR(70)","one-time","[direct]","printed on AOF copy retained 8 yrs per SEBI Stock Brokers Regulations","[industry typical]"
"A","Personal Identity","A-father_spouse_name","Father/Spouse Name","bse-ucc","FATHER_SPOUSE_NAME","VARCHAR(70)","one-time","uppercase","Required in BEFS UCC profile","BSE/20240223-42"
"A","Personal Identity","A-father_spouse_name","Father/Spouse Name","cdsl-bo","FATHER_OR_SPOUSE_NAME","CHAR(70)","one-time","uppercase","Right-padded; mandatory per CDSL operating instructions; line 01 positional field","CDSL/OPS/DP/SYSTM/2023/119"
"A","Personal Identity","A-father_spouse_name","Father/Spouse Name","ckyc","FATHER_SPOUSE_NAME","VARCHAR(140)","one-time","formatted","CKYC validates against OVD where present; mandatory","CKYC/2025/16"
"A","Personal Identity","A-father_spouse_name","Father/Spouse Name","kra","FATHER_SPOUSE_NAME","VARCHAR(140)","on-modify","formatted","KRA stores as single concatenated string; uppercase preferred","[industry typical]"
"A","Personal Identity","A-father_spouse_name","Father/Spouse Name","mcx-ucc","FATHER_SPOUSE_NAME","VARCHAR(70)","one-time","uppercase","Captured in pipe-delimited record","MCX/TECH/394/2023"
"A","Personal Identity","A-father_spouse_name","Father/Spouse Name","nsdl-bo","FthrSpsNm","VARCHAR(70) UDiFF","one-time","uppercase","Mandatory ISO-tagged element in BO Upload format","NSDL/POLICY/2025/0056"
"A","Personal Identity","A-father_spouse_name","Father/Spouse Name","nse-ucc","FATHER_SPOUSE_NAME","VARCHAR(70)","one-time","uppercase","Mandatory for KYC; appears in UCC profile","NSE/ISC/61817"
"A","Personal Identity","A-father_spouse_prefix","Father/Spouse Prefix","ckyc","FATHER_SPOUSE_PREFIX","VARCHAR(5)","one-time","[direct]","CKYC T1 mandatory","CKYC/2020/04"
"A","Personal Identity","A-father_spouse_prefix","Father/Spouse Prefix","kra","FATH_SPOUSE_PREFIX","VARCHAR(5)","on-modify","[direct]","Mr/Mrs/Ms based on relationship","[industry typical]"
"A","Personal Identity","A-first_name","First Name","aml-fiu","FIRST_NAME","VARCHAR(70)","on-event","[direct]","split-name fields in FINnet 2.0 schema (XML elements FirstName/MiddleName/LastName)","FIU-IND-REPORTING-FORMAT-V114"
"A","Personal Identity","A-first_name","First Name","back-office","first_name","VARCHAR(70)","on-modify","[direct]","must match PAN; mismatch blocks ledger creation","[industry typical]"
"A","Personal Identity","A-first_name","First Name","bse-ucc","FIRST_NAME","VARCHAR(85)","one-time","uppercase","Separate First/Middle/Last mandatory for individuals; Client Name limit 85 chars (revised Feb 2024)","BSE/20240223-42"
"A","Personal Identity","A-first_name","First Name","cdsl-bo","FIRST_HOLDER_FIRST_NAME","CHAR(40)","one-time","uppercase","Right-padded with spaces in fixed-length record line 01; must match PAN exactly (4th-char tolerance only); rejects mismatch >2 chars","CDSL/OPS/DP/SYSTM/2023/119"
"A","Personal Identity","A-first_name","First Name","ckyc","FIRST_NAME","VARCHAR(70)","one-time","formatted","CKYC validates against name on OVD; alpha+spaces only","CKYC/2025/16"
"A","Personal Identity","A-first_name","First Name","dlt-comms","FIRST_NAME_VAR","VARCHAR(20)","on-event","[direct]","used for salutation in transactional templates; capitalised on render","[industry typical]"
"A","Personal Identity","A-first_name","First Name","kra","FIRST_NAME","VARCHAR(70)","on-modify","formatted","Must match PAN-card name exactly; KRA rejects on character-level mismatch","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/41"
"A","Personal Identity","A-first_name","First Name","mcx-ucc","FIRST_NAME","VARCHAR(70)","one-time","uppercase","Captured in pipe-delimited 2-row-per-client BO file format","MCX/TECH/394/2023"
"A","Personal Identity","A-first_name","First Name","nsdl-bo","FrstNm","VARCHAR(70) UDiFF","one-time","uppercase","ISO 20022-style element; UTF-8 in XML; must exactly match Income Tax Department record returned in PAN-flag check","NSDL/POLICY/2024/0041"
"A","Personal Identity","A-first_name","First Name","nse-ucc","FIRST_NAME","VARCHAR(70)","one-time","uppercase","Mandatory; must match PAN card; revised format separates First/Middle/Last","NSE/ISC/61817"
"A","Personal Identity","A-full_name","Full Name","aml-fiu","CUSTOMER_NAME","VARCHAR(200)","on-event","[direct]","STR/CTR header field; must match PAN-name; STR narrative also refers to name","FIU-IND-REPORTING-FORMAT-V114"
"A","Personal Identity","A-full_name","Full Name (Sanction Screening)","aml-fiu","SANCTION_SCREEN_NAME","VARCHAR(200)","on-event","uppercase","screened against UNSC 1267/1989 + MHA list per UAPA Sec 51A; positive match -> immediate freeze + STR","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/78"
"A","Personal Identity","A-full_name","Full Name","back-office","client_name","VARCHAR(200)","on-modify","concat with X","concatenation of first+middle+last; used on signed ECN","[industry typical]"
"A","Personal Identity","A-full_name","Full Name (Description)","bse-ucc","CLIENT_NAME_DESC","VARCHAR(150)","one-time","concat with X","Optional 150-char description field; supplementary to First/Middle/Last","BSE/20240223-42"
"A","Personal Identity","A-full_name","Full Name","cdsl-bo","FIRST_HOLDER_FULL_NAME","CHAR(120)","one-time","concat with X","Concatenation of First+Middle+Last with single-space separator; right-padded; max 120 char window in line 01","CDSL/OPS/DP/SYSTM/2023/119"
"A","Personal Identity","A-full_name","Full Name","ckyc","FULL_NAME","VARCHAR(200)","one-time","derived from Y","CKYCRR computes Name field internally; uploaded as concat","CKYC/2020/04"
"A","Personal Identity","A-full_name","Client Full Name","contract-notes","ClientName","VARCHAR(200)","on-trade","[direct]","prints on ECN exactly as in client master; mismatch with PAN-ITD triggers SCORES exposure","NSE/INSP/61999"
"A","Personal Identity","A-full_name","Full Name","dlt-comms","CLIENT_NAME_VAR","VARCHAR(30)","on-event","truncate to N","SMS body limit 160 GSM-7 chars; long names truncated to ~30 chars or rendered ""Dear <First Name>""","[industry typical]"
"A","Personal Identity","A-full_name","Full Name","fatca-crs","ACCOUNT_HOLDER_NAME","VARCHAR(200)","on-event","[direct]","must match PAN-name; CRS XML requires ""ResCountryCode + TIN + Name"" key","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/12"
"A","Personal Identity","A-full_name","Full Name","kra","FULL_NAME","VARCHAR(200)","on-modify","derived from Y","Derived from prefix+first+middle+last; some KRAs reject if mismatch with PAN ITD name","SEBI/HO/MIRSD/SECFATF/P/CIR/2023/169"
"A","Personal Identity","A-full_name","Full Name (Description)","mcx-ucc","CLIENT_NAME","VARCHAR(200)","one-time","concat with X","Captured as concatenated value in pipe-delimited record","MCX/TECH/394/2023"
"A","Personal Identity","A-full_name","Full Name","nsdl-bo","FullNm","VARCHAR(200) UDiFF","one-time","derived from Y","Derived from FrstNm+MddlNm+LastNm at submission; ISO-tagged element","NSDL/POLICY/2025/0056"
"A","Personal Identity","A-full_name","Full Name (Description)","nse-ucc","CLIENT_NAME","VARCHAR(80)","one-time","concat with X","Concat of First+Middle+Last; legacy field still emitted in UCC report; '6666666666'/'notprovided' disallowed","NSE/ISC/47869"
"A","Personal Identity","A-full_name","Client Full Name","regulatory-reports","ClientName","VARCHAR(200)","daily","[direct]","appears in CFR holding-statement API submission; not in margin files (UCC keyed)","NSE/INSP/55039"
"A","Personal Identity","A-gender","Gender","aml-fiu","GENDER","CHAR(1)","on-event","[direct]","M/F/T; XML element Gender; required in CTR per CTR banking format","FIU-IND-CTR-BANKING-FORMAT"
"A","Personal Identity","A-gender","Gender","back-office","gender","CHAR(1)","one-time","[direct]","M/F/T; needed for ITR Form 16A and FATCA refresh","[industry typical]"
"A","Personal Identity","A-gender","Gender","bse-ucc","GENDER","CHAR(1)","one-time","[direct]","M/F/T per CERSAI template","BSE/20240223-42"
"A","Personal Identity","A-gender","Gender","cdsl-bo","GENDER","CHAR(1)","one-time","[direct]","Single char position M/F/T; mandatory in line 01","CDSL/OPS/DP/SYSTM/2023/119"
"A","Personal Identity","A-gender","Gender","ckyc","GENDER","CHAR(1)","one-time","[direct]","M/F/T per CERSAI template; mandatory","CKYC/2025/16"
"A","Personal Identity","A-gender","Gender","kra","GENDER","CHAR(1)","on-modify","[direct]","M=Male, F=Female, T=Transgender","[industry typical]"
"A","Personal Identity","A-gender","Gender","mcx-ucc","GENDER","CHAR(1)","one-time","[direct]","M/F/T flows in UCC pipe-delimited record","MCX/TECH/394/2023"
"A","Personal Identity","A-gender","Gender","nsdl-bo","Gndr","CHAR(1) UDiFF","one-time","[direct]","ISO 5218 mapped (M/F/T); mandatory element","NSDL/POLICY/2025/0056"
"A","Personal Identity","A-gender","Gender","nse-ucc","GENDER","CHAR(1)","one-time","[direct]","M=Male, F=Female, T=Transgender","NSE/ISC/61817"
"A","Personal Identity","A-is_differently_abled","Differently Abled Flag","back-office","diff_abled_flg","CHAR(1)","one-time","[direct]","drives accessibility-mode contract-note dispatch","[industry typical]"
"A","Personal Identity","A-is_differently_abled","Differently Abled Status","ckyc","DIFFERENTLY_ABLED_STATUS","CHAR(1)","one-time","[direct]","New field added per Supreme Court order; bulk file v1.3; effective 30-Sep-2025","CKYC/2025/11"
"A","Personal Identity","A-is_differently_abled","Differently Abled Status","kra","DIFF_ABLED_FLAG","CHAR(1)","on-modify","[direct]","Y/N; KRA template typically follows CKYC field","[industry typical]"
"A","Personal Identity","A-last_name","Last Name","aml-fiu","LAST_NAME","VARCHAR(70)","on-event","[direct]","required XML element LastName","FIU-IND-REPORTING-FORMAT-V114"
"A","Personal Identity","A-last_name","Last Name","back-office","last_name","VARCHAR(70)","on-modify","[direct]","PAN-match strict; downstream to ITR Form 16A dispatch","[industry typical]"
"A","Personal Identity","A-last_name","Last Name","bse-ucc","LAST_NAME","VARCHAR(85)","one-time","uppercase","Mandatory; must match Protean record; reduced 85-char limit","BSE/20240223-42"
"A","Personal Identity","A-last_name","Last Name","cdsl-bo","FIRST_HOLDER_LAST_NAME","CHAR(40)","one-time","uppercase","Right-padded with spaces; mandatory; rejection code 'NAME MISMATCH' if differs from PAN record returned by Protean","CDSL/OPS/DP/SYSTM/2023/119"
"A","Personal Identity","A-last_name","Last Name","ckyc","LAST_NAME","VARCHAR(70)","one-time","formatted","Mandatory; concatenated for FULL_NAME on output","CKYC/2025/16"
"A","Personal Identity","A-last_name","Last Name","kra","LAST_NAME","VARCHAR(70)","on-modify","formatted","Must match PAN; rejection codes include name-mismatch class","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/41"
"A","Personal Identity","A-last_name","Last Name","mcx-ucc","LAST_NAME","VARCHAR(70)","one-time","uppercase","Mandatory in UCC record","MCX/TECH/394/2023"
"A","Personal Identity","A-last_name","Last Name","nsdl-bo","LastNm","VARCHAR(70) UDiFF","one-time","uppercase","Mandatory in ISO-tagged XML; concatenated FrstNm+MddlNm+LastNm must equal Income Tax record name","NSDL/POLICY/2024/0041"
"A","Personal Identity","A-last_name","Last Name","nse-ucc","LAST_NAME","VARCHAR(70)","one-time","uppercase","Mandatory; must match PAN; part of Name in 3-param Protean check","NSE/ISC/61817"
"A","Personal Identity","A-maiden_first_name","Maiden First Name","back-office","maiden_name","VARCHAR(70)","on-modify","[direct]","BSE Unfreeze process references maiden name on name-change","[industry typical]"
"A","Personal Identity","A-maiden_first_name","Maiden First Name","ckyc","MAIDEN_FIRST_NAME","VARCHAR(70)","one-time","formatted","CKYC T1 maiden section; helps legacy-record matching per CKYC/2026/08","CKYC/2026/08"
"A","Personal Identity","A-maiden_first_name","Maiden First Name","kra","MAIDEN_FIRST_NAME","VARCHAR(70)","on-modify","formatted","Optional in KRA template; populated for name-change cases","[industry typical]"
"A","Personal Identity","A-maiden_last_name","Maiden Last Name","ckyc","MAIDEN_LAST_NAME","VARCHAR(70)","one-time","formatted","CKYC maiden subsection","CKYC/2020/04"
"A","Personal Identity","A-maiden_last_name","Maiden Last Name","kra","[same]","VARCHAR(70)","on-modify","formatted","Optional","[industry typical]"
"A","Personal Identity","A-maiden_middle_name","Maiden Middle Name","ckyc","MAIDEN_MIDDLE_NAME","VARCHAR(70)","one-time","formatted","CKYC maiden subsection","CKYC/2020/04"
"A","Personal Identity","A-maiden_middle_name","Maiden Middle Name","kra","[same]","VARCHAR(70)","on-modify","formatted","Optional","[industry typical]"
"A","Personal Identity","A-maiden_prefix","Maiden Prefix","ckyc","MAIDEN_PREFIX","VARCHAR(5)","one-time","[direct]","CKYC T1 captures pre-marriage prefix","CKYC/2020/04"
"A","Personal Identity","A-maiden_prefix","Maiden Prefix","kra","[same]","VARCHAR(5)","on-modify","[direct]","Optional; only if name changed after marriage","[industry typical]"
"A","Personal Identity","A-marital_status","Marital Status","back-office","marital_status","CHAR(1)","on-modify","[direct]","drives name-change workflow on marriage","[industry typical]"
"A","Personal Identity","A-marital_status","Marital Status","bse-ucc","MARITAL_STATUS","CHAR(1)","one-time","[direct]","S/M/O","BSE/20240223-42"
"A","Personal Identity","A-marital_status","Marital Status","cdsl-bo","MARITAL_STATUS","CHAR(1)","one-time","[direct]","Optional code S/M/O in line 01 reserved position","CDSL/OPS/DP/POLCY/2024/208"
"A","Personal Identity","A-marital_status","Marital Status","ckyc","MARITAL_STATUS","CHAR(1)","one-time","[direct]","CKYC optional in T1","CKYC/2020/04"
"A","Personal Identity","A-marital_status","Marital Status","kra","MARITAL_STATUS","CHAR(1)","on-modify","[direct]","S=Single, M=Married, O=Others","[industry typical]"
"A","Personal Identity","A-marital_status","Marital Status","mcx-ucc","MARITAL_STATUS","CHAR(1)","one-time","[direct]","S/M/O","MCX/TECH/394/2023"
"A","Personal Identity","A-marital_status","Marital Status","nsdl-bo","MrtlSts","CHAR(1) UDiFF","one-time","[direct]","Optional ISO-tagged element","NSDL/POLICY/2025/0056"
"A","Personal Identity","A-marital_status","Marital Status","nse-ucc","MARITAL_STATUS","CHAR(1)","one-time","[direct]","S=Single, M=Married, O=Others","NSE/ISC/61817"
"A","Personal Identity","A-middle_name","Middle Name","aml-fiu","MIDDLE_NAME","VARCHAR(70)","on-event","[direct]","optional XML element MiddleName","FIU-IND-REPORTING-FORMAT-V114"
"A","Personal Identity","A-middle_name","Middle Name","back-office","middle_name","VARCHAR(70)","on-modify","[direct]","null-allowed; rendered on contract note Annexure A header","[industry typical]"
"A","Personal Identity","A-middle_name","Middle Name","bse-ucc","MIDDLE_NAME","VARCHAR(85)","one-time","uppercase","Separate Middle name field in revised UCC (post Mar 28 2024)","BSE/20240223-42"
"A","Personal Identity","A-middle_name","Middle Name","cdsl-bo","FIRST_HOLDER_MIDDLE_NAME","CHAR(40)","one-time","uppercase","Right-padded with spaces; optional field but positions in line 01 are reserved; blank fill if absent","CDSL/OPS/DP/SYSTM/2023/119"
"A","Personal Identity","A-middle_name","Middle Name","ckyc","MIDDLE_NAME","VARCHAR(70)","one-time","formatted","CKYC T1 field; optional","CKYC/2020/04"
"A","Personal Identity","A-middle_name","Middle Name","kra","MIDDLE_NAME","VARCHAR(70)","on-modify","formatted","Optional; if present must match PAN","[industry typical]"
"A","Personal Identity","A-middle_name","Middle Name","mcx-ucc","MIDDLE_NAME","VARCHAR(70)","one-time","uppercase","Optional in pipe-delimited UCC record","MCX/TECH/394/2023"
"A","Personal Identity","A-middle_name","Middle Name","nsdl-bo","MddlNm","VARCHAR(70) UDiFF","one-time","uppercase","Optional XML element; omit tag or empty value if not provided","NSDL/POLICY/2024/0041"
"A","Personal Identity","A-middle_name","Middle Name","nse-ucc","MIDDLE_NAME","VARCHAR(70)","one-time","uppercase","Optional; concatenated for legacy fullname callers","NSE/ISC/61817"
"A","Personal Identity","A-mother_name","Mother Name","back-office","mother_name","VARCHAR(70)","one-time","[direct]","transmission docs lookup uses mother name","[industry typical]"
